Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","Return on Equity","5Y Avg Net Profit Margin","Return on Investment","5Y Avg Return on Equity","Return on Assets","5Y Avg Return on Assets","Net Profit Margin","ROCE","1Y Forward Revenue Growth","1Y Forward EBITDA Growth","1Y Forward EPS Growth","PB Premium vs Sector","PB Ratio","PS Premium vs Sector","PS Ratio","EV/EBITDA Ratio","Forward PE Ratio","Price / Free Cash Flow","Enterprise Value","Price / CFO","Price / Sales","Sector PE","Current Ratio","Long Term Debt to Equity","Debt to Equity","Inventory Turnover Ratio","Asset Turnover Ratio","Investing Cash Flow","Total Current Assets","Total Debt","Total Equity","Free Cash Flow","Book Value","EBITDA","Payout Ratio","Earnings Per Share","PBIT","Total Revenue","EPS (Q)","EBITDA (Q)"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","313860.5508096","1968","38.52094258806374","8.9845216454206","7.086938608476153","2.0747680843247416","8.22315766698548","1.728393980125227","1.620134497987085","7.380840247161254","5.870087927614709","20.30381926657306","-42.777","15.575946515742281","23.16817359964036","3.0244083841240528","37.23745163855242","2.8431692341256887","28.45563043361304","33.2994923857868",,"633853.7208096",,"2.8431692341256887","17.62347512832906","0.20832870932481168","2.508858274829837","2.7841990212559087",,"0.23417306461686188","-10959.69","36099.28","288932.62","103775.85","-70109.67","103775.84999999996","22275.160000000003","0.01955599771839971","51.135207438643086","21375.030000000002","110391.09","14","6100.009999999998"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","292730.516844414","232.69","5.9472252868351","14.726500362138646","6.154337800521191","11.464180096639781","11.251883774188014","7.421976180909794","5.379634648306854","8.119548386107024","15.615340439495684","6.294325558995333","2.773","-6.966773774637764","-45.970730083912535","0.8018025030897512","-34.52523620542408","0.4828878347953681","3.728827300145573","6.3925824175824175","4.771711458174188","431861.516844414","2.9490488001525446","0.4828878347953681","11.390851106271253","0.8822157809645513","0.2833746586976847","0.4195685974342529","4.7410365886964145","0.9140873147094225","-57203.42","134345.76","153180.53","365090.55000000005","61347.07","365090.55000000005","115816.98000000004","0.3130925882584306","39.125806420842814","87054.23000000004","606208.1","6.85","26689.149999999994"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","290365.3954084","3273.4","83.05646321750572","32.83091515236888","6.748485193186558","16.51217848400947","25.302657946296087","11.938463639933751","11.069389676055213","6.772831182920687","34.90478092955121","5.47328451315432","22.893","-2.8280637871853562","394.60598573904696","30.912955968103905","158.49053787871236","5.6252740402262775","51.956985137040846","84.73067067015246","289.208561163745","302701.3954084","171.30701794005898","5.6252740402262775","36.517693012135595","1.5492770282533728","0.5678696901948259","1.653145959757266","2.3669987371965764","1.762699130909898","-189","25608","15528","9393","1004","9393","5826","0.2800343249427918","39.28089887640449","5242","51618","11.8","1802"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","283249.88930764503","304.55","18.188337454161207","18.302911064961553","31.66789524821818","11.556896159199985","19.28656384403654","6.1914402438924485","5.609613537724746","33.13386834630014","13.185407608354241","-3.8966695368348447","5.357","-0.2643717624348382","3.215468548340956","3.250324536943554","115.61165599796949","6.026499786442574","9.872294969949339","18.346385542168672","10.942305317968065","398662.71930764505","7.595969088017942","6.026499786442574","22.73527808755144","0.6164780974908337","1.2063731401566882","1.417362488841887","0.23770753744026263","0.18686137637725625","-13114.39","27052.969999999998","123516.21","87145.11","25885.760000000002","87145.10999999999","40381.969999999994","0.6718717471093462","16.74426711407628","27286.699999999993","47000.729999999996","4.15","10085.390000000001"
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","281293.45275","4206.1","36.91006524691479","28.91268018141915","18.19082640631814","26.25273491680749","26.14341905020217","10.148758706155615","7.923095462449385","23.59152902194082","24.580562760872713","1.8784565960194617","-8.933","-6.722251363001171","58.82828969862564","9.65257315005485","144.51854770618954","8.707648754743195","21.834911342323732","39.570064443294605","43.492374007560706","254915.60275000002","34.20887879705503","8.707648754743195","41.78192531806184","1.6819919984649974","0.000037060155151652947","0.0017198657187045005","0.8547188165302608","0.4301865596213357","-6410.05","65833.15","50.12","29141.809999999998","6467.65","29141.810000000005","11674.68","0.3071377959729958","113.95536615453629","10267.51","32304.18","21.53","2319.34"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","279103.98388678","2418.2","86.15517089928534","7.89399234907405","2.2329903748931734","7.11826795464766","6.136189552109822","2.1463588060241037","1.9217357190732423","3.296153526041299","8.136095550490683","-1.5887224959336583","49.661","56.94787855288533","3.9353432928379513","6.316529038459213","-20.255693533917174","2.839806703463701","27.23002844263071","54.21973094170403",,"341001.37388678","27.065442344136404","2.839806703463701","41.78192531806184","0.829044868243327","1.3044281382302065","1.4780636708807187","6.282775095992602","0.6511707628503258","-18766.65","36526.15","65310.149999999994","44186.29","-12053.72","44186.29000000001","12522.990000000002","0.04574713948850918","28.41707731969855","9480.840000000002","98282.73999999999","0.04","3718.8700000000026"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","274134.31955636","4212.7","108.08988338966249","14.585698462048079","5.0102051261002085","13.449285880919657","13.43563802801863","12.914275530208506","11.902848984689022","4.979201056713535","18.3368814390825","16.53482827030696","26.453","12.681464617908224","134.58617632820835","14.661674845532039","147.31227776913738","5.3820126159385016","64.46281829090262","95.74318181818181","18789.192567262322","273981.15955636","99.83623210251143","5.3820126159385016","36.517693012135595","3.1336994856351748","0.021352769966209096","0.031670815206869","12.365415804953148","2.5936441174224094","-2468.23","6202.03","592.16","18697.34","14.590000000000146","18697.34","4250.2199999999975","0","39.04812574916352","3519.4599999999973","50935.27999999999","11.12","1241.380000000001"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","261549.6234606","1210.8","32.2477170063768","15.946559059152545","27.831569428010415","10.441910003696798","14.579220003909976","7.066174907832246","6.287199492954627","28.750959766720857","12.305520416216002","7.083328843196614","16.836000000000002","33.1669846645887","-21.293617119029008","4.783273304625727","160.35278410952353","9.271528142189394","18.69750334475402","24.215999999999998","34.4086290020365","304020.8434606","17.41622974278146","9.271528142189394","41.78192531806184","1.0613146861982126","0.7402912030987535","0.899169989786037","2.7624454737599495","0.24577179214765973","-6767.56","17472.36","49166.659999999996","54680.05","7601.28","54680.05","16259.970000000001","0.15980038159750645","37.546844006370165","12371.510000000002","28209.980000000003","11.67","5024.5"
Wipro Ltd,WIPRO,"IT Services & Consulting","255229.7437844","244","23.10775212620866","14.495602839485603","14.244414749968353","13.497359322037624","17.501643175650607","9.540945853845207","11.527535671523841","11.954831147155954","17.877848910792046","-3.307299079673268","-0.777","19.301224640658347","-55.384114863831314","3.4182402371114415","-27.815576911528137","2.7624927485915847","11.918313382365229","19.83739837398374","15.40256501179197","231016.24378440002","14.483914274776412","2.7624927485915847","27.458074989494207","2.5773079086422293","0.10213615117789654","0.22051106914701277","3.658233890214797","0.7980828617654706","1144.1","65066.19999999999","16464.9","74667","16570.6","74667","19383.300000000007","0.048496432780755425","10.310036663117463","15976.200000000006","92391.1","3.21","5544.4000000000015"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","245946.2845392","1008","27.910381813345438","11.998583916560007","7.327937068376396","10.084048640915594","16.96433420833476","4.01973373597575","5.3917486314436704","4.989835729534143","13.276031464534427","-2.9545151773226266","21.564","-35.57885093797663","-6.931959754562206","3.0815702468200277","-32.701591233842024","1.39268220397171","10.913116112189366","53.918159935811715",,"323650.2845392","20.363163151117735","1.39268220397171","29.1167129459607","0.9768258533262696","0.869267779281311","1.1019395579612088","3.0974207188160676","0.8055843827049268","-14467","64534","87948","79812","-3723","79811.99999999999","29657","0.25155088962437583","29.01997290051569","21485","176599","2.94","5629"
